ID,custcat,region,marital,churn,monthly_revenue,expected_tenure,CLV,sf_12m
1,Basic service,Zone 2,Married,Yes,25,93.7500757076985,2343.7518926924627,0.9393064928488697
2,Total service,Zone 3,Married,Yes,65,99.4522389756669,6464.395533418348,0.9444723894389593
3,Plus service,Zone 3,Married,No,45,544.6533698256965,24509.401642156343,0.997978354149439
4,Basic service,Zone 2,Unmarried,Yes,25,45.45416454658062,1136.3541136645156,0.8421907001998499
5,Plus service,Zone 2,Married,No,45,127.43746849505953,5734.686082277679,0.962486213284307
6,Plus service,Zone 2,Unmarried,No,45,159.86519322266383,7193.933695019872,0.9744784226973705
7,E-service,Zone 3,Married,Yes,35,37.18838752468196,1301.5935633638685,0.8029678597761037
8,Total service,Zone 2,Unmarried,No,65,27.108174432784217,1762.031338130974,0.7304069477797066
9,Plus service,Zone 3,Married,No,45,340.3323112258671,15314.95400516402,0.9941397699587218
10,E-service,Zone 1,Married,No,35,391.4537275673927,13700.880464858745,0.9956789706431238
11,Basic service,Zone 2,Unmarried,Yes,25,18.00281764979764,450.07044124494104,0.6200581994853321
12,Plus service,Zone 3,Unmarried,No,45,76.32976763800318,3434.839543710143,0.9183536570298542
13,Basic service,Zone 1,Married,No,25,72.01356422691848,1800.339105672962,0.9115277263880964
14,Total service,Zone 2,Married,Yes,65,248.99647277765618,16184.770730547652,0.9888434706440711
15,Basic service,Zone 2,Unmarried,No,25,49.90009329492965,1247.5023323732412,0.8585476790016209
16,E-service,Zone 1,Married,No,35,102.86800187731939,3600.3800657061784,0.9472670007217949
17,Plus service,Zone 3,Unmarried,No,45,762.4184536231007,34308.83041303953,0.9991205951934097
18,Plus service,Zone 3,Unmarried,No,45,122.269424133019,5502.124085985855,0.9598633034717338
19,Basic service,Zone 2,Unmarried,No,25,22.19479979439382,554.8699948598455,0.6784477005585785
20,Total service,Zone 1,Married,Yes,65,31.204140620530143,2028.2691403344593,0.7642598369155603
21,E-service,Zone 3,Unmarried,Yes,35,39.543613697688244,1384.0264794190884,0.815551209249444
22,Basic service,Zone 1,Married,No,25,177.29753269523536,4432.438317380884,0.9787760611582573
23,Total service,Zone 3,Unmarried,No,65,31.196428307667762,2027.7678399984045,0.7642024974674114
24,Basic service,Zone 3,Married,No,25,166.69644302223355,4167.411075555839,0.9762964882385788
25,Plus service,Zone 3,Married,No,45,302.4073439608683,13608.330478239073,0.9924802670528344
26,Plus service,Zone 2,Unmarried,No,45,39.78388736593803,1790.2749314672112,0.8167648575849584
27,Total service,Zone 2,Unmarried,No,65,35.5027995431881,2307.6819703072265,0.7931269567654837
28,Plus service,Zone 3,Married,No,45,155.0504708752662,6977.271189386979,0.9730770854655879
29,Basic service,Zone 1,Married,No,25,28.532692062123974,713.3173015530994,0.7430040598059546
30,E-service,Zone 2,Married,No,35,75.25230027207995,2633.8305095227984,0.9167243463701579
31,E-service,Zone 1,Married,No,35,76.68279661481641,2683.897881518574,0.9188772970877517
32,Total service,Zone 1,Married,No,65,211.0597506857324,13718.883794572606,0.9846308948387781
33,Plus service,Zone 1,Married,No,45,551.2266562848872,24805.199532819926,0.998035481625581
34,E-service,Zone 1,Married,No,35,57.80460781453828,2023.1612735088397,0.881915189120415
35,Total service,Zone 2,Married,No,65,89.55263521413521,5820.921288918788,0.9350458343574074
36,E-service,Zone 3,Married,Yes,35,88.24752743705471,3088.663460296915,0.9336322317175714
37,Total service,Zone 2,Unmarried,No,65,279.68579764750405,18179.576847087763,0.9911676706920769
38,Plus service,Zone 1,Married,No,45,153.8278587551988,6922.253643983946,0.972704022594101
39,Plus service,Zone 1,Married,Yes,45,81.76092547560174,3679.241646402078,0.9258938747683372
40,Plus service,Zone 2,Unmarried,No,45,642.3927297260756,28907.6728376734,0.9986462358532529
41,Plus service,Zone 3,Unmarried,No,45,112.13942794440806,5046.274257498362,0.9539030539999106
42,Plus service,Zone 2,Unmarried,No,45,51.4824882922324,2316.7119731504577,0.8637536863214317
43,Basic service,Zone 2,Married,No,25,41.98456412095544,1049.614103023886,0.827331600805106
44,Total service,Zone 1,Married,Yes,65,64.67622904004473,4203.954887602908,0.897824337504697
45,Plus service,Zone 1,Married,No,45,329.449403030524,14825.223136373581,0.9937192057956145
46,E-service,Zone 1,Married,No,35,49.156784528259884,1720.4874584890958,0.8559975962128787
47,E-service,Zone 1,Married,No,35,315.6201163319225,11046.704071617287,0.99312348403537
48,Total service,Zone 3,Married,Yes,65,67.86229298359189,4411.049043933473,0.9041360900608647
49,Basic service,Zone 3,Married,Yes,25,64.86938069886754,1621.7345174716886,0.8982243306303382
50,Plus service,Zone 1,Unmarried,Yes,45,54.31789878767026,2444.3054454451617,0.8723847952444349
51,Basic service,Zone 2,Married,Yes,25,22.594980342998124,564.8745085749531,0.6832574115113859
52,E-service,Zone 1,Married,No,35,792.1234398769038,27724.320395691633,0.9992029904851705
53,Total service,Zone 3,Unmarried,No,65,13.558069498326226,881.2745173912047,0.536644237159418
54,Basic service,Zone 1,Married,No,25,37.368449477143926,934.2112369285982,0.803976074741126
55,Basic service,Zone 1,Unmarried,No,25,28.185476489295674,704.6369122323919,0.7400206390428004
56,Basic service,Zone 2,Married,Yes,25,29.794935115536624,744.8733778884156,0.7534074727184601
57,E-service,Zone 3,Unmarried,No,35,110.83683266407648,3879.289143242677,0.953045934443118
58,Basic service,Zone 1,Married,No,25,578.0964241740091,14452.410604350229,0.9982479658303997
59,Plus service,Zone 2,Unmarried,No,45,395.9563484884601,17818.035681980706,0.9957871326602677
60,E-service,Zone 2,Married,No,35,131.41939436719568,4599.678802851849,0.9643435037324093
61,Plus service,Zone 2,Married,Yes,45,144.38841771146957,6497.478797016131,0.9695618641092771
62,Total service,Zone 2,Married,No,65,143.8499050354695,9350.243827305518,0.9693674639504348
63,Basic service,Zone 3,Unmarried,No,25,170.84495247684174,4271.123811921044,0.9773128583391258
64,Total service,Zone 2,Married,No,65,157.08711236749073,10210.662303886898,0.9736827590992762
65,Total service,Zone 2,Unmarried,Yes,65,79.97344651971636,5198.274023781563,0.9235293823909151
66,Basic service,Zone 3,Married,No,25,141.2988276982057,3532.470692455143,0.968422233516257
67,Plus service,Zone 3,Married,No,45,481.87080692744854,21684.186311735186,0.9973027505100004
68,Plus service,Zone 1,Married,No,45,2228.3423765061966,100275.40694277885,0.9999586323191699
69,Basic service,Zone 1,Unmarried,No,25,27.003943186743673,675.0985796685918,0.7294470276165469
70,Basic service,Zone 3,Unmarried,Yes,25,38.252173592975105,956.3043398243776,0.8088105218633104
71,Basic service,Zone 1,Married,No,25,195.64657001272826,4891.1642503182065,0.9822805187912297
72,E-service,Zone 3,Unmarried,No,35,52.77361532077614,1847.0765362271648,0.8677898231944484
73,Basic service,Zone 1,Unmarried,No,25,44.949700568324644,1123.742514208116,0.8401544765399174
74,E-service,Zone 2,Unmarried,No,35,51.91398011174007,1816.9893039109024,0.8651230216251495
75,Plus service,Zone 2,Married,No,45,293.4724202138656,13206.258909623952,0.9919981039905682
76,Basic service,Zone 1,Unmarried,No,25,21.531017378839323,538.2754344709831,0.6702066079352325
77,Plus service,Zone 1,Married,Yes,45,178.58329492378283,8036.248271570227,0.9790517558506862
78,Basic service,Zone 2,Unmarried,No,25,350.1770982052606,8754.427455131516,0.9944880118515699
79,Plus service,Zone 1,Unmarried,No,45,468.6448693992368,21089.019122965656,0.9971232699749304
80,Total service,Zone 1,Unmarried,No,65,28.317936686121264,1840.6658845978823,0.7411652124642727
81,Total service,Zone 3,Married,No,65,62.71284610332629,4076.334996716209,0.8936220900414628
82,Basic service,Zone 2,Unmarried,Yes,25,27.517270245563573,687.9317561390893,0.734122895813675
83,Total service,Zone 3,Married,Yes,65,443.27443035093177,28812.837972810565,0.9967316988820384
84,Plus service,Zone 2,Unmarried,No,45,140.82689660242244,6337.2103471090095,0.9682428556006979
85,E-service,Zone 2,Married,No,35,122.29237096228591,4280.232983680007,0.9598755206071808
86,Basic service,Zone 2,Married,No,25,46.01411228372343,1150.3528070930856,0.8444048995286232
87,E-service,Zone 1,Unmarried,No,35,75.77783885229617,2652.2243598303658,0.9175249709263446
88,Total service,Zone 2,Married,Yes,65,75.06607685472923,4879.2949955574,0.9164378985185749
89,Total service,Zone 2,Unmarried,Yes,65,43.41906058075799,2822.2389377492696,0.8337243444488454
90,Plus service,Zone 1,Married,No,45,335.71201778712174,15107.040800420478,0.9939660309448608
91,E-service,Zone 3,Married,No,35,112.92964994397607,3952.5377480391626,0.954412112615916
92,Basic service,Zone 2,Unmarried,No,25,39.53049169820648,988.2622924551621,0.8154845722454339
93,E-service,Zone 3,Married,No,35,102.67086417696981,3593.4802461939435,0.9471113011631282
94,Total service,Zone 3,Unmarried,No,65,29.88867610485565,1942.7639468156174,0.7541535374709999
95,Basic service,Zone 3,Married,Yes,25,27.501068117826065,687.5267029456517,0.733977272100701
96,Total service,Zone 2,Unmarried,Yes,65,29.88867610485565,1942.7639468156174,0.7541535374709999
97,Plus service,Zone 1,Married,No,45,496.95698111360014,22363.064150112004,0.997489703341823
98,E-service,Zone 3,Married,Yes,35,164.11314423193753,5743.960048117813,0.9756310446130417
99,Plus service,Zone 2,Married,Yes,45,89.31788194813001,4019.3046876658505,0.9347948222220339
100,E-service,Zone 3,Unmarried,No,35,688.1465072732182,24085.127754562636,0.9988594856562218
101,Total service,Zone 1,Unmarried,No,65,20.897884090294145,1358.3624658691194,0.6620244154648605
102,Plus service,Zone 3,Married,No,45,85.57368226872417,3850.815702092588,0.9305924712633967
103,Plus service,Zone 2,Unmarried,Yes,45,48.404213785652715,2178.189620354372,0.853344017429759
104,E-service,Zone 1,Married,Yes,35,49.333602714469656,1726.676095006438,0.8566104913587221
105,E-service,Zone 2,Unmarried,No,35,312.1562874819007,10925.470061866523,0.9929623318635282
106,E-service,Zone 2,Unmarried,Yes,35,96.89123953671445,3391.1933837850056,0.942234380739133
107,Basic service,Zone 1,Unmarried,No,25,204.1564390142112,5103.91097535528,0.9836353391694163
108,Total service,Zone 3,Unmarried,No,65,82.77599588060006,5380.439732239004,0.927189198382634
109,Basic service,Zone 1,Unmarried,No,25,17.422850753359604,435.57126883399013,0.6106294446937289
110,E-service,Zone 2,Married,No,35,267.85618613760585,9374.966514816204,0.9903583833281754
111,E-service,Zone 3,Married,No,35,345.912355551887,12106.932444316046,0.9943406897784568
112,E-service,Zone 2,Married,Yes,35,86.18747429898097,3016.561600464334,0.9313079666596411
113,Basic service,Zone 2,Unmarried,No,25,34.582149641133,864.553741028325,0.7874259961342582
114,E-service,Zone 2,Unmarried,No,35,22.77936855086325,797.2778992802138,0.6854348058521605
115,Plus service,Zone 1,Unmarried,No,45,89.98338996821882,4049.2525485698466,0.93550277641581
116,Basic service,Zone 1,Unmarried,No,25,19.495387221050013,487.38468052625035,0.6426865628939215
117,Plus service,Zone 3,Unmarried,No,45,68.23887750196965,3070.7494875886346,0.9048436399286551
118,Plus service,Zone 1,Married,No,45,108.0212905369387,4860.958074162241,0.9511132676755853
119,Plus service,Zone 1,Unmarried,No,45,264.51391675088416,11903.126253789787,0.9901114145674927
120,Basic service,Zone 3,Unmarried,Yes,25,11.375496138886751,284.3874034721688,0.48393871120996146
121,Basic service,Zone 2,Unmarried,No,25,78.97170104304772,1974.2925260761929,0.9221555909533012
122,Basic service,Zone 3,Unmarried,No,25,69.3926969597728,1734.81742399432,0.9069639564037955
123,Basic service,Zone 3,Married,No,25,96.10695080737088,2402.673770184272,0.9415228569231074
124,E-service,Zone 1,Married,Yes,35,92.18576857197083,3226.501900018979,0.9377674855979418
125,Basic service,Zone 3,Married,Yes,25,23.282896523614305,582.0724130903576,0.6912601523061124
126,E-service,Zone 2,Unmarried,No,35,129.97710895474512,4549.198813416079,0.9636862215067569
127,Total service,Zone 3,Unmarried,No,65,15.995051030758983,1039.678316999334,0.5857141367305922
128,E-service,Zone 2,Married,Yes,35,49.63040739350155,1737.0642587725542,0.8576304333685844
129,E-service,Zone 3,Married,Yes,35,37.18838752468196,1301.5935633638685,0.8029678597761037
130,Total service,Zone 2,Married,No,65,498.8655679214713,32426.261914895636,0.9975121115516042
131,Plus service,Zone 1,Married,Yes,45,212.3048387440465,9553.717743482091,0.9848014590751062
132,Basic service,Zone 2,Married,Yes,25,45.77719515467723,1144.4298788669307,0.8434738763153248
133,Total service,Zone 1,Married,No,65,278.4181459978815,18097.179489862297,0.991085498453761
134,E-service,Zone 1,Married,Yes,35,154.48555250280862,5406.994337598301,0.9729056077404756
135,Plus service,Zone 2,Unmarried,No,45,99.80993337131912,4491.44700170936,0.9447749443824729
136,Basic service,Zone 3,Unmarried,No,25,21.546856316613354,538.6714079153338,0.6704071967499299
137,Basic service,Zone 2,Unmarried,No,25,67.69094783351652,1692.273695837913,0.9038115710695827
138,Plus service,Zone 2,Unmarried,No,45,106.15736367482324,4777.081365367046,0.9497702310052759
139,Plus service,Zone 3,Married,No,45,93.2259057247069,4195.1657576118105,0.9387970217229077
140,Total service,Zone 3,Unmarried,Yes,65,25.334883087482503,1646.7674006863626,0.7133057063617876
141,Total service,Zone 1,Married,No,65,64.28944584785725,4178.813980110722,0.8970162925580261
142,Plus service,Zone 1,Married,No,45,158.13004416689142,7115.851987510114,0.9739855033937383
143,Total service,Zone 1,Married,No,65,57.13110292195444,3713.5216899270386,0.8801594774728451
144,E-service,Zone 2,Married,No,35,788.044960429801,27581.573615043035,0.9991922936541544
145,Plus service,Zone 1,Unmarried,No,45,78.59585022483232,3536.8132601174543,0.9216307913372674
146,Basic service,Zone 3,Unmarried,No,25,10.824404282843442,270.6101070710861,0.46903818141950837
147,Total service,Zone 2,Married,No,65,151.64562044485234,9856.965328915403,0.972019800344818
148,E-service,Zone 3,Married,Yes,35,39.79135377937241,1392.6973822780342,0.8168023740184174
149,E-service,Zone 3,Married,No,35,203.46864051551643,7121.402418043075,0.9835312910770431
150,E-service,Zone 1,Unmarried,No,35,123.78375964362326,4332.431587526814,0.9606582967637195
151,Basic service,Zone 2,Married,No,25,42.2371549392327,1055.9288734808176,0.8284842944805121
152,Plus service,Zone 1,Unmarried,No,45,49.56117137509563,2230.2527118793037,0.8573934960082905
153,Total service,Zone 3,Unmarried,No,65,64.32732167905543,4181.275909138603,0.8970958398860096
154,Total service,Zone 3,Unmarried,No,65,166.15901898433293,10800.336233981641,0.9761601716054373
155,Total service,Zone 3,Unmarried,No,65,171.7117513486493,11161.263837662205,0.9775174773833398
156,Plus service,Zone 1,Married,No,45,20.5504433514843,924.7699508167935,0.657394215542439
157,Basic service,Zone 2,Unmarried,No,25,24.33627645122338,608.4069112805845,0.702902514141726
158,Basic service,Zone 2,Unmarried,No,25,29.267235896543504,731.6808974135876,0.7491403529220715
159,E-service,Zone 1,Married,Yes,35,62.22269738323906,2177.794408413367,0.8925328461550369
160,Plus service,Zone 3,Unmarried,No,45,270.71069830405787,12181.981423682604,0.9905626691074019
161,Plus service,Zone 3,Married,No,45,179.65770170970293,8084.596576936632,0.9792783053001131
162,Plus service,Zone 2,Married,No,45,777.753643420802,34998.91395393609,0.9991644546045257
163,Basic service,Zone 2,Married,No,25,185.05502714303003,4626.3756785757505,0.9803661146974393
164,Plus service,Zone 3,Unmarried,No,45,64.54469059956101,2904.5110769802454,0.8975505972487985
165,E-service,Zone 1,Unmarried,No,35,109.38286919243286,3828.4004217351503,0.952061899983665
166,E-service,Zone 1,Married,No,35,145.02036971540338,5075.712940039119,0.9697877762790621
167,Total service,Zone 3,Married,Yes,65,25.49360570837231,1657.0843710442002,0.7149057459385004
168,Basic service,Zone 3,Married,No,25,54.657148374042066,1366.4287093510516,0.8733619615901012
169,Basic service,Zone 3,Unmarried,No,25,24.383625178812427,609.5906294703107,0.703409291719541
170,E-service,Zone 1,Unmarried,Yes,35,167.99424567745905,5879.798598711067,0.9766211946816898
171,Total service,Zone 2,Married,No,65,135.0854086770367,8780.551564007385,0.9659398710617763
172,Basic service,Zone 1,Married,No,25,173.99009630411507,4349.752407602877,0.9780431302763314
173,Total service,Zone 2,Married,No,65,115.78906407045845,7526.289164579799,0.9561882319805378
174,Basic service,Zone 2,Unmarried,Yes,25,13.923592653256861,348.0898163314215,0.5445994349321059
175,E-service,Zone 3,Unmarried,No,35,332.2856491680209,11629.99772088073,0.9938326528805659
176,Basic service,Zone 3,Unmarried,Yes,25,10.433038665584869,260.8259666396217,0.458015010227769
177,Plus service,Zone 1,Unmarried,No,45,461.556709661926,20770.05193478667,0.9970204855456665
178,Total service,Zone 3,Married,Yes,65,21.20632079980111,1378.410851987072,0.6660508271952357
179,Total service,Zone 3,Unmarried,No,65,30.935292271127345,2010.7939976232774,0.7622480225536022
180,Basic service,Zone 1,Unmarried,Yes,25,38.29842352547618,957.4605881369046,0.8090584455318751
181,Total service,Zone 2,Married,No,65,70.94294758051262,4611.291592733321,0.9097043309364264
182,Basic service,Zone 2,Unmarried,No,25,28.3787674063876,709.46918515969,0.7416881799196029
183,E-service,Zone 3,Married,No,35,55.42776956133154,1939.9719346466038,0.8755402222300473
184,E-service,Zone 2,Married,No,35,293.7004278210097,10279.51497373534,0.9920109246335089
185,E-service,Zone 3,Unmarried,No,35,572.42022793606,20034.7079777621,0.9982057139730817
186,Basic service,Zone 3,Unmarried,No,25,22.889663668509773,572.2415917127444,0.6867258022358519
187,Basic service,Zone 3,Married,No,25,12.773182895173738,319.32957237934346,0.5187629625910075
188,E-service,Zone 1,Married,Yes,35,41.918014217101906,1467.1304975985668,0.8270259232708748
189,Plus service,Zone 3,Married,No,45,74.47630484543275,3351.4337180444736,0.9155210722434086
190,Plus service,Zone 1,Married,Yes,45,195.65033261322415,8804.264967595087,0.9822811517241065
191,Basic service,Zone 2,Married,No,25,217.01195214132747,5425.298803533186,0.9854231113934763
192,Total service,Zone 3,Unmarried,No,65,27.43533626782329,1783.2968574085137,0.7333851816912373
193,E-service,Zone 1,Unmarried,Yes,35,22.916415569513372,802.074544932968,0.6870376513931371
194,Plus service,Zone 1,Unmarried,No,45,52.90397976950074,2380.6790896275334,0.8681872860510178
195,Total service,Zone 3,Married,No,65,191.74554934781906,12463.46070760824,0.9816069878221996
196,Basic service,Zone 1,Married,Yes,25,126.62578053389335,3165.6445133473335,0.9620907630943154
197,Basic service,Zone 2,Unmarried,No,25,46.63586007298937,1165.896501824734,0.8468084657262189
198,Plus service,Zone 2,Married,No,45,999.5999359603131,44981.997118214094,0.9995693282862056
199,Basic service,Zone 3,Unmarried,No,25,22.32002104277658,558.0005260694145,0.6799652552246584
200,Total service,Zone 3,Unmarried,No,65,247.65321724928108,16097.45912120327,0.9887234152509733
201,Basic service,Zone 1,Unmarried,No,25,65.69095190308346,1642.2737975770865,0.8998999440687204
202,Total service,Zone 1,Unmarried,No,65,43.910772220737954,2854.200194347967,0.8358324655762137
203,E-service,Zone 1,Married,No,35,36.74492217087877,1286.072275980757,0.8004502700928459
204,E-service,Zone 2,Married,No,35,807.8563955741331,28274.973845094657,0.9992425604748395
205,Total service,Zone 1,Married,Yes,65,92.3906855862973,6005.394563109324,0.9379722948640262
206,Basic service,Zone 2,Married,No,25,72.44681786420136,1811.1704466050342,0.9122501758560947
207,Plus service,Zone 1,Married,No,45,2971.3873647115056,133712.43141201776,0.9999836048895093
208,Total service,Zone 1,Married,Yes,65,27.773310898182537,1805.2652083818648,0.7364075334895259
209,Plus service,Zone 3,Unmarried,No,45,705.7447548227633,31758.513967024348,0.9989296982572152
210,Plus service,Zone 3,Married,No,45,79.4975684246367,3577.3905791086513,0.9228812396409846
211,Basic service,Zone 3,Unmarried,No,25,69.50884072896527,1737.7210182241317,0.9071735011442308
212,Basic service,Zone 1,Unmarried,Yes,25,35.15478986967422,878.8697467418555,0.7910002212944659
213,Basic service,Zone 3,Married,Yes,25,33.25986694307213,831.4966735768033,0.7787997764085959
214,E-service,Zone 2,Unmarried,No,35,33.51880914272906,1173.158319995517,0.7805315182355176
215,E-service,Zone 2,Unmarried,No,35,155.32015042211958,5436.205264774186,0.9731584060621365
216,Basic service,Zone 2,Unmarried,No,25,139.46269432813025,3486.5673582032564,0.9677161371393951
217,Plus service,Zone 2,Married,No,45,130.64124400130828,5878.855980058873,0.9639910064274966
218,Total service,Zone 3,Married,Yes,65,29.338362299430667,1906.9935494629933,0.7497222510782158
219,Total service,Zone 2,Married,No,65,473.7282324843885,30792.335111485252,0.9971940857403003
220,Basic service,Zone 3,Unmarried,No,25,223.75074041929273,5593.768510482319,0.9862533955416495
221,Plus service,Zone 1,Unmarried,No,45,57.84210640405651,2602.894788182543,0.8820118054351788
222,Total service,Zone 3,Unmarried,No,65,71.0111680434356,4615.725922823314,0.909822168918139
223,Basic service,Zone 3,Unmarried,No,25,42.51629894764436,1062.9074736911089,0.8297444926651384
224,Plus service,Zone 3,Married,No,45,352.80378137466494,15876.170161859922,0.9945761763983105
225,Basic service,Zone 2,Unmarried,Yes,25,35.79311786039635,894.8279465099088,0.794875531816091
226,Total service,Zone 1,Unmarried,Yes,65,115.99736136886708,7539.82848897636,0.956313715445455
227,Total service,Zone 2,Married,No,65,52.25367644945198,3396.488969214379,0.8661864685753226
228,Basic service,Zone 2,Unmarried,No,25,13.663851886781115,341.5962971695279,0.5389699719599372
229,Plus service,Zone 3,Unmarried,Yes,45,28.084996106640187,1263.8248247988083,0.7391470579572215
230,Plus service,Zone 2,Unmarried,No,45,259.57948285933355,11681.07672867001,0.9897306807821146
231,Plus service,Zone 1,Unmarried,No,45,90.99326051922121,4094.6967233649543,0.936555862238636
232,Plus service,Zone 1,Married,No,45,130.75052655958828,5883.773695181472,0.9640408092524184
233,E-service,Zone 1,Married,No,35,531.9072982390801,18616.755438367803,0.9978611406710728
234,Basic service,Zone 2,Unmarried,No,25,39.026451168321415,975.6612792080354,0.8128965616133356
235,Total service,Zone 1,Unmarried,No,65,26.92353766467632,1750.0299482039609,0.7287028255583015
236,E-service,Zone 2,Unmarried,No,35,535.4226565899801,18739.7929806493,0.9978943499631433
237,Total service,Zone 2,Married,No,65,307.23244968908875,19970.109229790767,0.9927242900355405
238,Total service,Zone 2,Married,No,65,140.70924540711215,9146.10095146229,0.9681979123568175
239,Basic service,Zone 3,Unmarried,No,25,16.236436094076343,405.9109023519086,0.5901068934200251
240,Total service,Zone 3,Married,No,65,271.8175570883858,17668.141210745078,0.9906402885902752
241,Basic service,Zone 3,Unmarried,No,25,42.22671574280457,1055.6678935701143,0.8284368894802993
242,Total service,Zone 2,Married,No,65,1566.4797818006846,101821.18581704449,0.9998790959297637
243,Plus service,Zone 3,Unmarried,No,45,1601.998695622969,72089.94130303361,0.9998868449498397
244,E-service,Zone 3,Married,Yes,35,34.34123937656263,1201.9433781796922,0.7858938277007947
245,Basic service,Zone 3,Unmarried,No,25,23.4367724433439,585.9193110835976,0.6930059363471968
246,Plus service,Zone 3,Unmarried,Yes,45,71.88592409161696,3234.866584122763,0.9113132109086987
247,E-service,Zone 2,Unmarried,No,35,91.1740595324709,3191.0920836364817,0.9367417542376067
248,Basic service,Zone 1,Unmarried,No,25,28.355048157336697,708.8762039334174,0.7414844618816885
249,Basic service,Zone 3,Married,No,25,235.003882219443,5875.097055486075,0.9875004434422692
250,E-service,Zone 2,Married,No,35,124.75516438111816,4366.430753339136,0.9611564734278446
